t	gamma	gamma_r	gamma_d	beta	N	S	S_	I	I_	R	R_	D	D_	∆S(t)	∆S_(t)	∆I(t)	∆I_(t)	∆R(t)	∆R_(t)	∆D(t)	∆D_(t)
0	0.030606976762617182	0.02040465117507812	0.01020232558753906	0.07141372903247797	10000.0	9990.0	9990.0	10	10	0	0	0	0	-10	-10	10	10	0	0	0	0
1	0.03060689879339821	0.020404599195598807	0.010202299597799403	0.0714134432408304	10000.0	9989.286576846966	9989.286576846966	10.407353385393684	10.407353385408284	0.2040465117507812	0.2040465117507812	0.1020232558753906	0.1020232558753906	-0.713423153034455	-0.7134231530344549	0.4073533853936837	0.40735338540828314	0.2040465117507812	0.2040465117507812	0.1020232558753906	0.1020232558753906
2	0.030606817654698353	0.020404545103132235	0.010202272551566118	0.07141314583969856	10000.0	9988.544148155019	9988.544148155017	10.831245265563034	10.831245265581774	0.4164043862666977	0.4164043862669956	0.20820219313334884	0.2082021931334978	-0.7424286919467704	-0.7424286919478119	0.4238918801693501	0.42389188017349033	0.21235787451591648	0.21235787451621438	0.10617893725795824	0.10617893725810719
3	0.030606733218387732	0.020404488812258488	0.010202244406129244	0.07141283635845387	10000.0	9987.771540959706	9987.771540959702	11.272342512052582	11.272342512079092	0.6374110188109661	0.6374110188116464	0.31870550940548303	0.3187055094058232	-0.7726071953129576	-0.7726071953142942	0.44109724648954796	0.441097246497318	0.2210066325442684	0.2210066325446508	0.1105033162721342	0.1105033162723254
4	0.030606645351215815	0.020404430234143876	0.010202215117071938	0.0714125143097187	10000.0	9986.96753538718	9986.967535387175	11.73133850455828	11.731338504592545	0.8674174054860887	0.8674174054873101	0.43370870274304435	0.43370870274365503	-0.8040055725250568	-0.8040055725269473	0.4589959925056988	0.4589959925134519	0.23000638667512263	0.2300063866756636	0.11500319333756132	0.1150031933378318
5	0.030606553914611135	0.020404369276407423	0.010202184638203712	0.07141217918774834	10000.0	9986.130862821814	9986.130862821807	12.20895415281717	12.208954152856688	1.1067886835554739	1.1067886835573943	0.5533943417777369	0.5533943417786972	-0.8366725653668254	-0.8366725653692687	0.47761564825889025	0.4776156482641422	0.23937127806938518	0.23937127807008432	0.11968563903469259	0.11968563903504216
6	0.030606458764475156	0.020404305842983438	0.010202152921491719	0.07141183046442082	10000.0	9985.260204005877	9985.260204005866	12.705938955221765	12.705938955275704	1.3559046925682834	1.35590469257101	0.6779523462841417	0.677952346285505	-0.870658815936622	-0.8706588159394394	0.49698480240459375	0.49698480241901566	0.2491160090128095	0.24911600901361583	0.12455800450640475	0.12455800450680792
7	0.03060635975096771	0.020404239833978474	0.010202119916989237	0.07141146758907489	10000.0	9984.35418706913	9984.354187069115	13.223072095250256	13.223072095328584	1.6151605570329057	1.6151605570367331	0.8075802785164529	0.8075802785183666	-0.9060169367476192	-0.9060169367514646	0.5171331400284913	0.5171331400528802	0.25925586446462234	0.2592558644657229	0.12962793223231117	0.12962793223286145
8	0.03060625671828142	0.020404171145520945	0.010202085572760472	0.071411089997512	10000.0	9983.411385486006	9983.411385485986	13.76116357681598	13.761163576895141	1.8849672914063802	1.8849672914118059	0.9424836457031901	0.9424836457059029	-0.9428015831235825	-0.9428015831291661	0.5380914815657238	0.5380914815665571	0.26980673437347447	0.2698067343750727	0.13490336718673723	0.13490336718753634
9	0.030606149504415883	0.020404099669610588	0.010202049834805294	0.07141069709157226	10000.0	9982.430315957987	9982.430315957961	14.321055399648944	14.321055399743427	2.1657524281892426	2.1657524281962837	1.0828762140946213	1.0828762140981418	-0.9810695280193613	-0.9810695280250029	0.5598918228329648	0.5598918228482864	0.28078513678286243	0.28078513678447764	0.14039256839143122	0.14039256839223882
10	0.030606037940933938	0.02040402529395596	0.01020201264697798	0.07141028826069479	10000.0	9981.409436219195	9981.409436219163	14.903622775829417	14.903622775915926	2.4579606699376946	2.4579606699466634	1.2289803349688473	1.2289803349733317	-1.0208797387913364	-1.0208797387980688	0.5825673761804726	0.5825673761724991	0.29220824174845195	0.2922082417503798	0.14610412087422597	0.1461041208751899
11	0.030605921852719434	0.020403947901812956	0.010201973950906478	0.07140986285957503	10000.0	9980.347142762292	9980.347142762253	15.509775388598825	15.509775388688755	2.762054566027296	2.7620545660380302	1.381027283013648	1.3810272830190151	-1.062293456903717	-1.0622934569098796	0.6061526127694083	0.6061526127728296	0.3040938960896016	0.30409389609136667	0.1520469480448008	0.15204694804568333
12	0.03060580105771215	0.0204038673718081	0.01020193368590405	0.07140942022675711	10000.0	9979.241768482847	9979.241768482801	16.1404586945739	16.140458694640454	3.0785152150250874	3.0785152150376565	1.5392576075125437	1.5392576075188282	-1.1053742794447317	-1.1053742794511365	0.6306833059750758	0.6306833059516973	0.31646064899779125	0.31646064899962617	0.15823032449889562	0.15823032449981309
13	0.030605675366652103	0.020403783577768068	0.010201891788884034	0.07140895967064231	10000.0	9978.091580239177	9978.091580239126	16.79665527048948	16.796655270526422	3.40784299354932	3.4078429935632473	1.70392149677466	1.7039214967816236	-1.1501882436696178	-1.1501882436743551	0.6561965759155797	0.656196575885969	0.3293277785242328	0.32932777852559075	0.1646638892621164	0.16466388926279538
