t	gamma	gamma_r	gamma_d	beta	N	S	S_	I	I_	R	R_	D	D_	∆S(t)	∆S_(t)	∆I(t)	∆I_(t)	∆R(t)	∆R_(t)	∆D(t)	∆D_(t)
0	0.0	0.0	0.0	0.5000000047224232	211755692	211755690	211755690	2	2	0	0	0	0	-2	-2	2	2	0	0	0	0
1	0.0	0.0	0.0	0.33333333805575666	211755692	211755689	211755689.0	3	3.0	0	0.0	0	0.0	-1	-0.9999999999999999	1	0.9999999999999999	0	0.0	0	0.0
2	0.0	0.0	0.0	0.25000000472242334	211755692	211755688	211755688.0	4	4.0	0	0.0	0	0.0	-1	-1.0	1	1.0	0	0.0	0	0.0
3	0.0	0.0	0.0	0.20000000472242335	211755692	211755687	211755687.0	5	5.0	0	0.0	0	0.0	-1	-1.0	1	1.0	0	0.0	0	0.0
4	0.0	0.0	0.0	0.16666667138909003	211755692	211755686	211755686.0	6	6.0	0	0.0	0	0.0	-1	-1.0	1	1.0	0	0.0	0	0.0
5	0.0	0.0	0.0	0.14285714757956625	211755692	211755685	211755685.0	7	7.0	0	0.0	0	0.0	-1	-0.9999999999999999	1	0.9999999999999999	0	0.0	0	0.0
6	0.0	0.0	0.0	0.0	211755692	211755684	211755684.0	8	8.0	0	0.0	0	0.0	-1	-1.0	1	1.0	0	0.0	0	0.0
7	0.0	0.0	0.0	0.12500000472242342	211755692	211755684	211755684.0	8	8.0	0	0.0	0	0.0	0	-0.0	0	0.0	0	0.0	0	0.0
8	0.0	0.0	0.0	0.2222222316670691	211755692	211755683	211755683.0	9	9.0	0	0.0	0	0.0	-1	-1.0000000000000002	1	1.0000000000000002	0	0.0	0	0.0
9	0.0	0.0	0.0	0.2727272868945432	211755692	211755681	211755681.0	11	11.0	0	0.0	0	0.0	-2	-1.9999999999999998	2	1.9999999999999998	0	0.0	0	0.0
10	0.0	0.0	0.0	0.35714288075497486	211755692	211755678	211755678.0	14	14.0	0	0.0	0	0.0	-3	-3.0	3	3.0	0	0.0	0	0.0
11	0.0	0.0	0.0	0.3157895020187525	211755692	211755673	211755673.0	19	19.0	0	0.0	0	0.0	-5	-4.999999999999999	5	4.999999999999999	0	0.0	0	0.0
12	0.0	0.0	0.0	0.24000002833454276	211755692	211755667	211755667.0	25	25.0	0	0.0	0	0.0	-6	-6.0	6	6.0	0	0.0	0	0.0
