Pocket	Days
0	14
1	14
2	14
3	13
4	13
5	13
6	13
7	14
8	13
9	13
10	12
11	14
12	14
13	13
14	13
15	14
16	14
17	13
18	14
19	13
20	13
21	14
22	15
23	13
24	13
25	13
26	14
27	13
28	13
29	14
30	13
31	13
32	14
33	15
34	13
35	14
36	14
37	14
38	12
39	14
40	14
41	14
42	13
43	14
44	14
45	13
46	13
47	13
48	13
49	15
50	13
51	13
52	14
53	12
54	15
55	13
56	14
57	14
58	14
59	13
60	13
61	14
62	14
63	12
64	13
65	13
66	13
67	14
68	15
69	14
70	12
71	14
72	13
73	13
74	14
75	14
76	14
77	12
78	14
79	14
80	13
81	14
82	30
83	28
84	30
85	29
86	26
87	32
88	27
89	29
90	25
91	32
92	28
93	26
94	27
95	29
96	38
97	34
98	44
99	41
100	43
