Territory	Date	t	N	∆S(t)	∆I(t)	∆R(t)	∆D(t)
['Sudeste, SP, City1']	2020-02-25	0	150000	0	0	0	0
['Sudeste, SP, City1']	2020-02-26	1	150000	-1	1	0	0
['Sudeste, SP, City1']	2020-02-27	2	150000	0	0	0	0
['Sudeste, SP, City1']	2020-02-28	3	150000	0	0	0	0
['Sudeste, SP, City1']	2020-02-29	4	150000	-1	1	0	0
['Sudeste, SP, City1']	2020-03-01	5	150000	0	0	0	0
['Sudeste, SP, City1']	2020-03-02	6	150000	0	0	0	0
['Sudeste, SP, City1']	2020-03-03	7	150000	0	0	0	0
['Sudeste, SP, City1']	2020-03-04	8	150000	-1	1	0	0
['Sudeste, SP, City1']	2020-03-05	9	150000	-3	3	0	0
['Sudeste, SP, City1']	2020-03-06	10	150000	-4	4	0	0
['Sudeste, SP, City1']	2020-03-07	11	150000	-3	3	0	0
['Sudeste, SP, City1']	2020-03-08	12	150000	-3	3	0	0
['Sudeste, SP, City1']	2020-03-09	13	150000	0	0	0	0
['Sudeste, SP, City1']	2020-03-10	14	150000	-3	3	0	0
['Sudeste, SP, City1']	2020-03-11	15	150000	-11	11	0	0
['Sudeste, SP, City1']	2020-03-12	16	150000	-12	12	0	0
['Sudeste, SP, City1']	2020-03-13	17	150000	-14	14	0	0
['Sudeste, SP, City1']	2020-03-14	18	150000	-9	9	0	0
['Sudeste, SP, City1']	2020-03-15	19	150000	-71	71	0	0
['Sudeste, SP, City1']	2020-03-16	20	150000	-16	16	0	0
['Sudeste, SP, City1']	2020-03-17	21	150000	-12	12	0	1
['Sudeste, SP, City1']	2020-03-18	22	150000	-76	76	0	3
['Sudeste, SP, City1']	2020-03-19	23	150000	-46	46	2	0
['Sudeste, SP, City1']	2020-03-20	24	150000	-110	110	3	5
['Sudeste, SP, City1']	2020-03-21	25	150000	-63	63	2	6
['Sudeste, SP, City1']	2020-03-22	26	150000	-172	172	2	7
['Sudeste, SP, City1']	2020-03-23	27	150000	-114	114	0	8
['Sudeste, SP, City1']	2020-03-24	28	150000	-65	65	2	10
['Sudeste, SP, City1']	2020-03-25	29	150000	-52	52	9	8
['Sudeste, SP, City1']	2020-03-26	30	150000	-190	190	9	10
['Sudeste, SP, City1']	2020-03-27	31	150000	-171	171	11	10
['Sudeste, SP, City1']	2020-03-28	32	150000	-183	183	7	16
['Sudeste, SP, City1']	2020-03-29	33	150000	-45	45	57	14
['Sudeste, SP, City1']	2020-03-30	34	150000	-66	66	12	15
['Sudeste, SP, City1']	2020-03-31	35	150000	-822	822	9	23
['Sudeste, SP, City1']	2020-04-01	36	150000	-642	642	61	28
['Sudeste, SP, City1']	2020-04-02	37	150000	-525	525	37	24
['Sudeste, SP, City1']	2020-04-03	38	150000	-542	542	89	31
['Sudeste, SP, City1']	2020-04-04	39	150000	-418	418	51	41
['Sudeste, SP, City1']	2020-04-05	40	150000	-154	154	139	15
['Sudeste, SP, City1']	2020-04-06	41	150000	-246	246	92	29
['Sudeste, SP, City1']	2020-04-07	42	150000	-816	816	53	67
['Sudeste, SP, City1']	2020-04-08	43	150000	-1026	1026	43	57
['Sudeste, SP, City1']	2020-04-09	44	150000	-772	772	155	68
['Sudeste, SP, City1']	2020-04-10	45	150000	-736	736	140	44
['Sudeste, SP, City1']	2020-04-11	46	150000	-203	203	149	20
['Sudeste, SP, City1']	2020-04-12	47	150000	-336	336	46	28
['Sudeste, SP, City1']	2020-04-13	48	150000	-140	140	55	20
['Sudeste, SP, City1']	2020-04-14	49	150000	-476	476	667	87
['Sudeste, SP, City1']	2020-04-15	50	150000	-1672	1672	530	83
['Sudeste, SP, City1']	2020-04-16	51	150000	-525	525	431	75
['Sudeste, SP, City1']	2020-04-17	52	150000	-1273	1273	454	75
['Sudeste, SP, City1']	2020-04-18	53	150000	-1053	1053	347	63
['Sudeste, SP, City1']	2020-04-19	54	150000	-373	373	148	24
['Sudeste, SP, City1']	2020-04-20	55	150000	-313	313	215	22
['Sudeste, SP, City1']	2020-04-21	56	150000	-805	805	670	56
['Sudeste, SP, City1']	2020-04-22	57	150000	-529	529	838	41
['Sudeste, SP, City1']	2020-04-23	58	150000	-826	826	652	211
['Sudeste, SP, City1']	2020-04-24	59	150000	-1086	1086	620	167
['Sudeste, SP, City1']	2020-04-25	60	150000	-2178	2178	190	155
['Sudeste, SP, City1']	2020-04-26	61	150000	-711	711	282	33
['Sudeste, SP, City1']	2020-04-27	62	150000	-981	981	123	125
['Sudeste, SP, City1']	2020-04-28	63	150000	-2345	2345	501	224
['Sudeste, SP, City1']	2020-04-29	64	150000	-2117	2117	1448	198
['Sudeste, SP, City1']	2020-04-30	65	150000	-2540	2540	501	128
['Sudeste, SP, City1']	2020-05-01	66	150000	-1676	1676	1112	136
['Sudeste, SP, City1']	2020-05-02	67	150000	-800	800	914	75
['Sudeste, SP, City1']	2020-05-03	68	150000	-598	598	332	41
['Sudeste, SP, City1']	2020-05-04	69	150000	-415	415	293	27
['Sudeste, SP, City1']	2020-05-05	70	150000	-1866	1866	769	197
['Sudeste, SP, City1']	2020-05-06	71	150000	-3800	3800	574	194
['Sudeste, SP, City1']	2020-05-07	72	150000	-2075	2075	786	161
['Sudeste, SP, City1']	2020-05-08	73	150000	-1902	1902	991	210
['Sudeste, SP, City1']	2020-05-09	74	150000	-2581	2581	1801	192
['Sudeste, SP, City1']	2020-05-10	75	150000	-1033	1033	625	101
['Sudeste, SP, City1']	2020-05-11	76	150000	-687	687	817	34
['Sudeste, SP, City1']	2020-05-12	77	150000	-1588	1588	2007	206
['Sudeste, SP, City1']	2020-05-13	78	150000	-3378	3378	1980	169
['Sudeste, SP, City1']	2020-05-14	79	150000	-3189	3189	2157	197
['Sudeste, SP, City1']	2020-05-15	80	150000	-4092	4092	1562	186
['Sudeste, SP, City1']	2020-05-16	81	150000	-2805	2805	816	187
['Sudeste, SP, City1']	2020-05-17	82	150000	-1162	1162	544	94
['Sudeste, SP, City1']	2020-05-18	83	150000	-721	721	392	41
['Sudeste, SP, City1']	2020-05-19	84	150000	-2929	2929	1664	324
['Sudeste, SP, City1']	2020-05-20	85	150000	-3864	3864	3203	216
['Sudeste, SP, City1']	2020-05-21	86	150000	-3880	3880	1834	195
['Sudeste, SP, City1']	2020-05-22	87	150000	-3132	3132	1729	215
['Sudeste, SP, City1']	2020-05-23	88	150000	-3687	3687	2405	272
['Sudeste, SP, City1']	2020-05-24	89	150000	-1603	1603	953	118
['Sudeste, SP, City1']	2020-05-25	90	150000	-1464	1464	700	57
['Sudeste, SP, City1']	2020-05-26	91	150000	-2392	2392	1638	203
['Sudeste, SP, City1']	2020-05-27	92	150000	-3466	3466	3116	289
['Sudeste, SP, City1']	2020-05-28	93	150000	-6382	6382	2964	268
['Sudeste, SP, City1']	2020-05-29	94	150000	-5691	5691	3612	295
['Sudeste, SP, City1']	2020-05-30	95	150000	-5586	5586	2436	257
['Sudeste, SP, City1']	2020-05-31	96	150000	-2556	2556	1043	83
['Sudeste, SP, City1']	2020-06-01	97	150000	-1598	1598	657	52
['Sudeste, SP, City1']	2020-06-02	98	150000	-6999	6999	2673	327
['Sudeste, SP, City1']	2020-06-03	99	150000	-5188	5188	3688	282
