Territory	Date	t	N	S(t)	I(t)	R(t)	D(t)
Sudeste, SP, *	2020-02-26	0	45919049	0	1	0	0
Sudeste, SP, *	2020-02-29	1	45919049	0	1	0	0
Sudeste, SP, *	2020-03-04	2	45919049	0	1	0	0
Sudeste, SP, *	2020-03-05	3	45919049	0	3	0	0
Sudeste, SP, *	2020-03-06	4	45919049	0	4	0	0
Sudeste, SP, *	2020-03-07	5	45919049	0	3	0	0
Sudeste, SP, *	2020-03-08	6	45919049	0	3	0	0
Sudeste, SP, *	2020-03-10	7	45919049	0	3	0	0
Sudeste, SP, *	2020-03-11	8	45919049	0	11	0	0
Sudeste, SP, *	2020-03-12	9	45919049	0	12	0	0
Sudeste, SP, *	2020-03-13	10	45919049	0	14	0	0
Sudeste, SP, *	2020-03-14	11	45919049	0	9	0	0
Sudeste, SP, *	2020-03-15	12	45919049	0	71	0	0
Sudeste, SP, *	2020-03-16	13	45919049	0	16	0	0
Sudeste, SP, *	2020-03-17	14	45919049	0	12	0	1
Sudeste, SP, *	2020-03-18	15	45919049	0	76	0	3
Sudeste, SP, *	2020-03-19	16	45919049	0	46	0	0
Sudeste, SP, *	2020-03-20	17	45919049	0	110	0	5
Sudeste, SP, *	2020-03-21	18	45919049	0	63	0	6
Sudeste, SP, *	2020-03-22	19	45919049	0	172	0	7
Sudeste, SP, *	2020-03-23	20	45919049	0	114	0	8
Sudeste, SP, *	2020-03-24	21	45919049	0	65	0	10
Sudeste, SP, *	2020-03-25	22	45919049	0	52	0	8
Sudeste, SP, *	2020-03-26	23	45919049	0	190	0	10
Sudeste, SP, *	2020-03-27	24	45919049	0	171	0	10
Sudeste, SP, *	2020-03-28	25	45919049	0	183	0	16
Sudeste, SP, *	2020-03-29	26	45919049	0	45	0	14
Sudeste, SP, *	2020-03-30	27	45919049	0	66	0	15
Sudeste, SP, *	2020-03-31	28	45919049	0	822	0	23
Sudeste, SP, *	2020-04-01	29	45919049	0	642	0	28
Sudeste, SP, *	2020-04-02	30	45919049	0	525	0	24
Sudeste, SP, *	2020-04-03	31	45919049	0	542	0	31
Sudeste, SP, *	2020-04-04	32	45919049	0	418	0	41
Sudeste, SP, *	2020-04-05	33	45919049	0	154	0	15
Sudeste, SP, *	2020-04-06	34	45919049	0	246	0	29
Sudeste, SP, *	2020-04-07	35	45919049	0	816	0	67
Sudeste, SP, *	2020-04-08	36	45919049	0	1026	0	57
Sudeste, SP, *	2020-04-09	37	45919049	0	772	0	68
Sudeste, SP, *	2020-04-10	38	45919049	0	736	0	44
Sudeste, SP, *	2020-04-11	39	45919049	0	203	0	20
Sudeste, SP, *	2020-04-12	40	45919049	0	336	0	28
Sudeste, SP, *	2020-04-13	41	45919049	0	140	0	20
Sudeste, SP, *	2020-04-14	42	45919049	0	476	0	87
Sudeste, SP, *	2020-04-15	43	45919049	0	1672	0	83
Sudeste, SP, *	2020-04-16	44	45919049	0	525	0	75
Sudeste, SP, *	2020-04-17	45	45919049	0	1273	0	75
Sudeste, SP, *	2020-04-18	46	45919049	0	1053	0	63
Sudeste, SP, *	2020-04-19	47	45919049	0	373	0	24
Sudeste, SP, *	2020-04-20	48	45919049	0	313	0	22
Sudeste, SP, *	2020-04-21	49	45919049	0	805	0	56
Sudeste, SP, *	2020-04-22	50	45919049	0	529	0	41
Sudeste, SP, *	2020-04-23	51	45919049	0	826	0	211
Sudeste, SP, *	2020-04-24	52	45919049	0	1086	0	167
Sudeste, SP, *	2020-04-25	53	45919049	0	2178	0	155
Sudeste, SP, *	2020-04-26	54	45919049	0	711	0	33
Sudeste, SP, *	2020-04-27	55	45919049	0	981	0	125
Sudeste, SP, *	2020-04-28	56	45919049	0	2345	0	224
Sudeste, SP, *	2020-04-29	57	45919049	0	2117	0	198
Sudeste, SP, *	2020-04-30	58	45919049	0	2540	0	128
Sudeste, SP, *	2020-05-01	59	45919049	0	1676	0	136
Sudeste, SP, *	2020-05-02	60	45919049	0	800	0	75
Sudeste, SP, *	2020-05-03	61	45919049	0	598	0	41
