Territory	Date	t	N	S(t)	I(t)	R(t)	D(t)
['*, *, *']	2020-02-25	0	1800000	1800000	0	0	0
['*, *, *']	2020-02-26	1	1800000	1799988	12	0	0
['*, *, *']	2020-02-27	2	1800000	1799988	12	0	0
['*, *, *']	2020-02-28	3	1800000	1799988	12	0	0
['*, *, *']	2020-02-29	4	1800000	1799976	24	0	0
['*, *, *']	2020-03-01	5	1800000	1799976	24	0	0
['*, *, *']	2020-03-02	6	1800000	1799976	24	0	0
['*, *, *']	2020-03-03	7	1800000	1799976	24	0	0
['*, *, *']	2020-03-04	8	1800000	1799964	36	0	0
['*, *, *']	2020-03-05	9	1800000	1799928	72	0	0
['*, *, *']	2020-03-06	10	1800000	1799880	120	0	0
['*, *, *']	2020-03-07	11	1800000	1799844	156	0	0
['*, *, *']	2020-03-08	12	1800000	1799808	192	0	0
['*, *, *']	2020-03-09	13	1800000	1799808	192	0	0
['*, *, *']	2020-03-10	14	1800000	1799772	228	0	0
['*, *, *']	2020-03-11	15	1800000	1799640	351	9	0
['*, *, *']	2020-03-12	16	1800000	1799496	495	9	0
['*, *, *']	2020-03-13	17	1800000	1799328	663	9	0
['*, *, *']	2020-03-14	18	1800000	1799220	762	18	0
['*, *, *']	2020-03-15	19	1800000	1798368	1614	18	0
['*, *, *']	2020-03-16	20	1800000	1798176	1806	18	0
['*, *, *']	2020-03-17	21	1800000	1798032	1938	18	12
['*, *, *']	2020-03-18	22	1800000	1797120	2805	27	48
['*, *, *']	2020-03-19	23	1800000	1796568	3328	56	48
['*, *, *']	2020-03-20	24	1800000	1795248	4550	94	108
['*, *, *']	2020-03-21	25	1800000	1794492	5205	123	180
['*, *, *']	2020-03-22	26	1800000	1792428	7156	152	264
['*, *, *']	2020-03-23	27	1800000	1791060	8428	152	360
['*, *, *']	2020-03-24	28	1800000	1790280	9059	181	480
['*, *, *']	2020-03-25	29	1800000	1789656	9479	289	576
['*, *, *']	2020-03-26	30	1800000	1787376	11523	405	696
['*, *, *']	2020-03-27	31	1800000	1785324	13319	541	816
['*, *, *']	2020-03-28	32	1800000	1783128	15234	630	1008
['*, *, *']	2020-03-29	33	1800000	1782588	14916	1320	1176
['*, *, *']	2020-03-30	34	1800000	1781796	15373	1475	1356
['*, *, *']	2020-03-31	35	1800000	1771932	24845	1591	1632
['*, *, *']	2020-04-01	36	1800000	1764228	31473	2331	1968
['*, *, *']	2020-04-02	37	1800000	1757928	37033	2783	2256
['*, *, *']	2020-04-03	38	1800000	1751424	42090	3858	2628
['*, *, *']	2020-04-04	39	1800000	1746408	45997	4475	3120
['*, *, *']	2020-04-05	40	1800000	1744560	45989	6151	3300
['*, *, *']	2020-04-06	41	1800000	1741608	47485	7259	3648
['*, *, *']	2020-04-07	42	1800000	1731816	55837	7895	4452
['*, *, *']	2020-04-08	43	1800000	1719504	66941	8419	5136
