Territory	Date	t	N	S(t)	I(t)	R(t)	D(t)
Sudeste, SP, *	2020-01-14	0	45919049	0	0	0	0
Sudeste, SP, *	2020-01-15	1	45919049	0	0	0	0
Sudeste, SP, *	2020-01-16	2	45919049	0	0	0	0
Sudeste, SP, *	2020-01-17	3	45919049	0	0	0	0
Sudeste, SP, *	2020-01-18	4	45919049	0	0	0	0
Sudeste, SP, *	2020-01-19	5	45919049	0	0	0	0
Sudeste, SP, *	2020-01-20	6	45919049	0	0	0	0
Sudeste, SP, *	2020-01-21	7	45919049	0	0	0	0
Sudeste, SP, *	2020-01-22	8	45919049	0	0	0	0
Sudeste, SP, *	2020-01-23	9	45919049	0	0	0	0
Sudeste, SP, *	2020-01-24	10	45919049	0	0	0	0
Sudeste, SP, *	2020-01-25	11	45919049	0	0	0	0
Sudeste, SP, *	2020-01-26	12	45919049	0	0	0	0
Sudeste, SP, *	2020-01-27	13	45919049	0	0	0	0
Sudeste, SP, *	2020-01-28	14	45919049	0	0	0	0
Sudeste, SP, *	2020-01-29	15	45919049	0	0	0	0
Sudeste, SP, *	2020-01-30	16	45919049	0	0	0	0
Sudeste, SP, *	2020-01-31	17	45919049	0	0	0	0
Sudeste, SP, *	2020-02-01	18	45919049	0	0	0	0
Sudeste, SP, *	2020-02-02	19	45919049	0	0	0	0
Sudeste, SP, *	2020-02-03	20	45919049	0	0	0	0
Sudeste, SP, *	2020-02-04	21	45919049	0	0	0	0
Sudeste, SP, *	2020-02-05	22	45919049	0	0	0	0
Sudeste, SP, *	2020-02-06	23	45919049	0	0	0	0
Sudeste, SP, *	2020-02-07	24	45919049	0	0	0	0
Sudeste, SP, *	2020-02-08	25	45919049	0	0	0	0
Sudeste, SP, *	2020-02-09	26	45919049	0	0	0	0
Sudeste, SP, *	2020-02-10	27	45919049	0	0	0	0
Sudeste, SP, *	2020-02-11	28	45919049	0	0	0	0
Sudeste, SP, *	2020-02-12	29	45919049	0	0	0	0
Sudeste, SP, *	2020-02-13	30	45919049	0	0	0	0
Sudeste, SP, *	2020-02-14	31	45919049	0	0	0	0
Sudeste, SP, *	2020-02-15	32	45919049	0	0	0	0
Sudeste, SP, *	2020-02-16	33	45919049	0	0	0	0
Sudeste, SP, *	2020-02-17	34	45919049	0	0	0	0
Sudeste, SP, *	2020-02-18	35	45919049	0	0	0	0
Sudeste, SP, *	2020-02-19	36	45919049	0	0	0	0
Sudeste, SP, *	2020-02-20	37	45919049	0	0	0	0
Sudeste, SP, *	2020-02-21	38	45919049	0	0	0	0
Sudeste, SP, *	2020-02-22	39	45919049	0	0	0	0
Sudeste, SP, *	2020-02-23	40	45919049	0	0	0	0
Sudeste, SP, *	2020-02-24	41	45919049	0	0	0	0
Sudeste, SP, *	2020-02-25	42	45919049	0	0	0	0
Sudeste, SP, *	2020-02-26	43	45919049	0	1	0	0
Sudeste, SP, *	2020-02-27	44	45919049	0	1	0	0
Sudeste, SP, *	2020-02-28	45	45919049	0	1	0	0
Sudeste, SP, *	2020-02-29	46	45919049	0	2	0	0
Sudeste, SP, *	2020-03-01	47	45919049	0	2	0	0
Sudeste, SP, *	2020-03-02	48	45919049	0	2	0	0
Sudeste, SP, *	2020-03-03	49	45919049	0	2	0	0
Sudeste, SP, *	2020-03-04	50	45919049	0	3	0	0
Sudeste, SP, *	2020-03-05	51	45919049	0	6	0	0
Sudeste, SP, *	2020-03-06	52	45919049	0	10	0	0
Sudeste, SP, *	2020-03-07	53	45919049	0	13	0	0
